(2023-10-26 13:38:25),0.534666,0,start,1507.17,465,PropertyLoad: Formal Property : 
(2023-10-26 13:38:25),0.534771,0,end,1507.17,465,PropertyLoad: Formal Property : 
(2023-10-26 13:38:25),0.534833,0,end,1507.17,465,BanffAddSvaProperty: buildPropertyModulesCallback : 
(2023-10-26 13:38:25),0.53489,0,end,1507.17,465,BanffAddSvaProperty: buildPropertyModules : 
(2023-10-26 13:38:28),0.588009,0,start,1507.16,465,Check: check_fv : 
(2023-10-26 13:38:28),0.588174,0,start,1507.16,465,Check: BuildFormal : 
(2023-10-26 13:38:28),0.588249,0,start,1507.16,465,Check: ResetSetup : 
(2023-10-26 13:38:28),0.58831,0,start,1507.16,465,Check: EnvInstrumentation : 
(2023-10-26 13:38:28),0.588389,0,end,1507.16,465,Check: EnvInstrumentation : 
(2023-10-26 13:38:28),0.588462,0,end,1507.16,465,Check: ResetSetup : 
(2023-10-26 13:38:28),0.588522,0,start,1507.16,465,Check: BotEotInstr : 
(2023-10-26 13:38:28),0.588595,0,end,1507.16,465,Check: BotEotInstr : 
(2023-10-26 13:38:28),0.58868,0,start,1507.16,465,Check: VPReset : 
(2023-10-26 13:38:28),0.588941,0,end,1507.16,465,Check: VPReset : 
(2023-10-26 13:38:28),0.58904,0,start,1507.16,465,Check: FormalModel : 
(2023-10-26 13:38:28),0.589107,0,start,1507.16,465,DfgBuild: Setup : 
(2023-10-26 13:38:28),0.589189,0,end,1507.16,465,DfgBuild: Setup : 
(2023-10-26 13:38:28),0.589261,0,start,1507.16,465,DfgBuild: Flatten : 
(2023-10-26 13:38:28),0.589488,0,end,1515.18,474,DfgBuild: Flatten : 
(2023-10-26 13:38:28),0.589551,0,start,1515.18,474,DfgBuild: ClockSetup : 
(2023-10-26 13:38:28),0.589628,0,end,1515.18,474,DfgBuild: ClockSetup : 
(2023-10-26 13:38:28),0.589692,0,start,1515.18,474,DfgBuild: Modeling : 
(2023-10-26 13:38:28),0.58976,0,end,1515.18,474,DfgBuild: Modeling : 
(2023-10-26 13:38:28),0.589815,0,start,1515.18,474,DfgBuild: FlatRemodel : 
(2023-10-26 13:38:28),0.589877,0,end,1515.18,474,DfgBuild: FlatRemodel : 
(2023-10-26 13:38:28),0.589934,0,start,1515.18,474,DfgBuild: NldfgBuild : 
(2023-10-26 13:38:28),0.589994,0,start,1515.18,474,NldfgBuild : Print statistics 
(2023-10-26 13:38:28),0.590079,0,end,1515.18,474,NldfgBuild : Print statistics 
(2023-10-26 13:38:28),0.590149,0,start,1515.18,474,NldfgBuild : Cutpoint Insertion 
(2023-10-26 13:38:28),0.590212,0,end,1515.18,474,NldfgBuild : Cutpoint Insertion 
(2023-10-26 13:38:29),0.590266,0,start,1515.18,474,NldfgBuild : Compute net equivalences 
(2023-10-26 13:38:29),0.590319,0,end,1515.18,474,NldfgBuild : Compute net equivalences 
(2023-10-26 13:38:29),0.590375,0,start,1515.18,474,NldfgBuild : Eliminate bidirectionals 
(2023-10-26 13:38:29),0.590433,0,end,1515.18,474,NldfgBuild : Eliminate bidirectionals 
(2023-10-26 13:38:29),0.590488,0,start,1515.18,474,NldfgBuild : Remove false combo loops 
(2023-10-26 13:38:29),0.590588,0,end,1515.18,474,NldfgBuild : Remove false combo loops 
(2023-10-26 13:38:29),0.59077,0,start,1515.18,474,NldfgBuild : Create dfg 
(2023-10-26 13:38:29),0.590873,0,start,1515.18,474,NldfgBuild : Create graph 
(2023-10-26 13:38:29),0.590997,0,end,1515.18,475,NldfgBuild : Create graph 
(2023-10-26 13:38:29),0.591054,0,start,1515.18,475,NldfgBuild : Create terminal sinks and sources 
(2023-10-26 13:38:29),0.591181,0,end,1515.18,475,NldfgBuild : Create terminal sinks and sources 
(2023-10-26 13:38:29),0.591227,0,start,1515.18,475,NldfgBuild : Compute dependencies 
(2023-10-26 13:38:29),0.591277,0,end,1515.18,475,NldfgBuild : Compute dependencies 
(2023-10-26 13:38:29),0.591323,0,start,1515.18,475,NldfgBuild : Compute combinational SCCs 
(2023-10-26 13:38:29),0.591376,0,end,1515.18,475,NldfgBuild : Compute combinational SCCs 
(2023-10-26 13:38:29),0.591425,0,start,1515.18,475,NldfgBuild : Compute templates 
(2023-10-26 13:38:29),0.591974,0,end,1515.18,476,NldfgBuild : Compute templates 
(2023-10-26 13:38:29),0.592038,0,start,1515.18,476,NldfgBuild : Eliminate combinational SCCs 
(2023-10-26 13:38:29),0.5921,0,end,1515.18,476,NldfgBuild : Eliminate combinational SCCs 
(2023-10-26 13:38:29),0.592156,0,start,1515.18,476,NldfgBuild : Computing sequential SCCs 
(2023-10-26 13:38:29),0.592214,0,end,1515.18,476,NldfgBuild : Computing sequential SCCs 
(2023-10-26 13:38:29),0.592265,0,start,1515.18,476,NldfgBuild : Create simulator clocks, changeAts and Triggers 
(2023-10-26 13:38:29),0.592354,0,end,1515.18,476,NldfgBuild : Create simulator clocks, changeAts and Triggers 
(2023-10-26 13:38:29),0.592403,0,start,1515.18,476,NldfgBuild : SymSimulator Analysis and computation 
(2023-10-26 13:38:29),0.59303,0,end,1515.18,476,NldfgBuild : SymSimulator Analysis and computation 
(2023-10-26 13:38:29),0.5931,0,end,1515.18,476,NldfgBuild : Create dfg 
(2023-10-26 13:38:29),0.593166,0,end,1515.18,476,DfgBuild: NldfgBuild : 
(2023-10-26 13:38:29),0.593226,0,start,1515.18,476,StaticCheck: StaticCheckProcess : 
(2023-10-26 13:38:29),0.593279,0,start,1515.18,476,StaticCheck: NldfgFlatDesign : 
(2023-10-26 13:38:29),0.593332,0,end,1515.18,476,StaticCheck: NldfgFlatDesign : 
(2023-10-26 13:38:29),0.593386,0,start,1515.18,476,StaticCheck: CombLoopCheck  : 
(2023-10-26 13:38:29),0.593474,0,end,1515.18,476,StaticCheck: CombLoopCheck  : 
(2023-10-26 13:38:29),0.593533,0,start,1515.18,476,StaticCheck: MultiDriverCheck  : 
(2023-10-26 13:38:29),0.593607,0,end,1515.18,476,StaticCheck: MultiDriverCheck  : 
(2023-10-26 13:38:29),0.593663,0,end,1515.18,476,StaticCheck: StaticCheckProcess : 
(2023-10-26 13:38:29),0.593753,0,start,1515.18,476,DfgBuild: DfgRemodel : 
(2023-10-26 13:38:29),0.594565,0,end,1515.18,474,DfgBuild: DfgRemodel : 
(2023-10-26 13:38:29),0.594635,0,end,1515.18,465,Check: FormalModel : 
(2023-10-26 13:38:29),0.594695,0,end,1515.18,465,Check: BuildFormal : 
(2023-10-26 13:38:29),0.594762,0,start,1515.18,465,Check: GCDB : 
(2023-10-26 13:38:29),0.594903,0,end,1515.18,465,Check: GCDB : 
(2023-10-26 13:38:29),0.595015,0,start,1515.18,465,Check: Tanglewood : 
(2023-10-26 13:38:29),0.599565,0,end,1515.18,465,Check: Tanglewood : 
(2023-10-26 13:38:29),0.599623,0,end,1515.18,465,Check: check_fv : 
