M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:09)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=464mb, T=3s W=(2023-10-26 13:38:12)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:12)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=464mb, T=3s W=(2023-10-26 13:38:15)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:15)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=464mb, T=3s W=(2023-10-26 13:38:18)
STATS:: before BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   before VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   after  VsiLib_Restore : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   before BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   after  BanffAddSvaProperty: createModel : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   before BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   |   before BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   |   after  BanffAddSvaProperty: instrumentProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   |   before PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   |   after  PropertyLoad: Formal Property : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: |   after  BanffAddSvaProperty: buildPropertyModulesCallback : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: after  BanffAddSvaProperty: buildPropertyModules : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: before CompileProperty : M=1507.17mb, Malloc-M=464mb, T=0s W=(2023-10-26 13:38:18)
STATS:: after  CompileProperty : M=1507.17mb, Malloc-M=464mb, T=2s W=(2023-10-26 13:38:20)
